# schema: relaylm.documentation_cutover_deletions.v1
# cutover_batch: C1B
# cutover_pr: 556
# baseline_tag: v0.1
# baseline_commit: 522018e62d69bcbe89465d574bf2d1b377f10bd9
# disposition: deleted_git_history_only
# reason: redundant milestone snapshot no longer used by current decisions or validation
# all path_dependency_count values verified as 0
old_path	old_blob_sha	old_content_sha256	source_commit	source_pr
docs/mvp/mvp30_summary.md	0a288af853f0cfed25f7def184ed4837dc69d0d5	4d7603144945d6c3619c8ee6fa0a74f704b109d008c58b1f3176432183fccdc3	c12c742c3e49b3e3b9e012b592ac23ad26908ae6	216
docs/mvp/mvp31_summary.md	8e3778d751a16a922f940beb5eab88c72a41d346	3ea0e99e98b0e2a6e1b124a8b4044dfb5c343f1459f5c79b43f4dab1da4732db	bac2dd0286aae6d8164b3bfa10443ba473d42cae	220
docs/mvp/mvp32_summary.md	771342ee991ce636e54822188b509bfdc9bfe8c9	62d5cc28eef26f2ea03df73fc1b20bd9595a193c2b06dfd14cedd4628eef232a	15b683622375359e06d4bb78041cc3640557ab0f	223
docs/mvp/mvp33_summary.md	700857a2c8a5785ba120b5c1d244da03167e7a3f	0950ed522ccd8c455c5dd55685bb14cac71160107d740a1bef34020b09eea1b2	6a3ee96da667b73faa9d01622b8d77d6c608bae5	
docs/mvp/mvp37_summary.md	a081423480051bbe586527f00028424338218f5f	8a36a632c8ae6d93b999f129c00cc5be93f19937c65959ee861b6b6bccd5d442	b6cae8aefab27ec20d17bd1704b6d1797b839e63	
docs/mvp/mvp3_summary.md	152c52cdcd4aa2b1484fa69931fd4e7b8b28637e	f43d2e2e437c88921574dbe6b1a2b0b05153253577668b4bfd356a8cc2509c3a	1069e63d13e137c03b99eaf8a75ed4903456000a	
docs/mvp/mvp4_summary.md	ef39a1854aecc31b6f3cdb43665eee41ba813d51	5aca5abb44fd5f35f44905703ea21d6a6b37861bd4232117234b8ea4975244fa	48fc1f7744ddd575157416e02285480f5be736f0	
docs/mvp/mvp5_summary.md	c41e1af6b552719af13073d62357ec143aead141	72c35977f21880566bb229390b4ea08ed12f5112d049ea16b4f2c103f1efe971	df88b63cd6e7401ef58d67af0ce790e4e08c676d	
docs/mvp/mvp6_summary.md	fd984399f85b5b96c94f14fcfa1c18d7d936af7a	dd4bc9c4d26b4256425d4d8d557682172ac695139ba97763835a69a0df0a2837	01219dcb3d9131f92d35f7a9490da947d93bfff1	
docs/mvp/mvp7_summary.md	7afb7283e947d510c16639d0271d6680569b20b9	d56ce37f1b0149b7a46bdeff146a71154d5d590b602e57a394601c2e5368b921	c366af2794006eec2b4adfe9f8f518d8e2612c1b	60
docs/mvp/mvp8_summary.md	d80bba2f011e884c6abe99cfff12138c25fe26de	d774acc96e1ff704f583799f9bc381938e1de4e550547eede8a95f9929db918a	2c1fd4a93eaaba5ccc31efe8e7eb733f9ba346d4	64
docs/mvp/mvp9_summary.md	fd6de0ea276c3c0892e6be46bc8b1c298913f044	2956016292a5c108c2349ac59e56d7335c5f341b705a6ef636e1199cb1f88715	d34776dfb278383944b523a7e352e5fcf073d9c8	67
